timestamp,load_profile,solar_profile,wind_profile
1/1/2017 0:00,44.512,0,0.3146
1/1/2017 1:00,43.202,0,0.3134
1/1/2017 2:00,42.064,0,0.3076
1/1/2017 3:00,40.523,0,0.3005
1/1/2017 4:00,39.793,0,0.3032
1/1/2017 5:00,38.554,0,0.3112
1/1/2017 6:00,37.398,0,0.3244
1/1/2017 7:00,38.041,0,0.3244
1/1/2017 8:00,38.669,0.0068,0.3226
1/1/2017 9:00,41.774,0.0513,0.3206
1/1/2017 10:00,44.75,0.1152,0.2959
1/1/2017 11:00,47.242,0.1681,0.2713
1/1/2017 12:00,44.897,0.195,0.2496
1/1/2017 13:00,40.823,0.1744,0.2248
1/1/2017 14:00,41.061,0.1141,0.2005
1/1/2017 15:00,41.734,0.0409,0.1835
1/1/2017 16:00,43.88,0.0029,0.1866
1/1/2017 17:00,47.693,0,0.1986
1/1/2017 18:00,48.281,0,0.2014
1/1/2017 19:00,47.113,0,0.2086
1/1/2017 20:00,44.66,0,0.2263
1/1/2017 21:00,42.549,0,0.2353
1/1/2017 22:00,42.645,0,0.2517
1/1/2017 23:00,40.386,0,0.2501
1/2/2017 0:00,37.959,0,0.2527
1/2/2017 1:00,36.057,0,0.2633
1/2/2017 2:00,35.729,0,0.2592
1/2/2017 3:00,35.852,0,0.2589
1/2/2017 4:00,37.055,0,0.2445
1/2/2017 5:00,39.786,0,0.242
1/2/2017 6:00,46.293,0,0.2474
1/2/2017 7:00,52.538,0,0.2432
1/2/2017 8:00,56.722,0.0026,0.2326
1/2/2017 9:00,61.431,0.019,0.2145
1/2/2017 10:00,65.641,0.04,0.2105
1/2/2017 11:00,66.904,0.0591,0.2004
1/2/2017 12:00,66.761,0.0706,0.2055
1/2/2017 13:00,65.467,0.0622,0.2059
1/2/2017 14:00,64.122,0.0387,0.2144
1/2/2017 15:00,63.605,0.0137,0.2154
1/2/2017 16:00,64.537,0.0012,0.2252
1/2/2017 17:00,67.513,0,0.2473
1/2/2017 18:00,67.147,0,0.2741
1/2/2017 19:00,66.214,0,0.2835
1/2/2017 20:00,62.083,0,0.2837
1/2/2017 21:00,58.868,0,0.2906
1/2/2017 22:00,57.582,0,0.3003
1/2/2017 23:00,54.016,0,0.3198
1/3/2017 0:00,51.119,0,0.3366
1/3/2017 1:00,48.687,0,0.3394
1/3/2017 2:00,47.412,0,0.3493
1/3/2017 3:00,47.285,0,0.3713
1/3/2017 4:00,48.268,0,0.3846
1/3/2017 5:00,50.501,0,0.4025
1/3/2017 6:00,55.998,0,0.4233
1/3/2017 7:00,62.206,0,0.4517
1/3/2017 8:00,66.092,0.0017,0.464
1/3/2017 9:00,67.579,0.0132,0.4912
1/3/2017 10:00,69.181,0.0287,0.5284
1/3/2017 11:00,70.821,0.0447,0.5655
1/3/2017 12:00,71.077,0.0528,0.5934
1/3/2017 13:00,70.54,0.0469,0.6165
1/3/2017 14:00,70.128,0.03,0.6288
1/3/2017 15:00,69.906,0.0108,0.652
1/3/2017 16:00,71.245,0.0012,0.6742
1/3/2017 17:00,74.023,0,0.6918
1/3/2017 18:00,73.5,0,0.7085
1/3/2017 19:00,72.157,0,0.7183
1/3/2017 20:00,68.455,0,0.7279
1/3/2017 21:00,65.565,0,0.7286
1/3/2017 22:00,62.928,0,0.7078
1/3/2017 23:00,58.262,0,0.7018
1/4/2017 0:00,54.015,0,0.6658
1/4/2017 1:00,52.223,0,0.6476
1/4/2017 2:00,51.392,0,0.6317
1/4/2017 3:00,51.524,0,0.6247
1/4/2017 4:00,52.356,0,0.626
1/4/2017 5:00,54.685,0,0.6288
1/4/2017 6:00,60.151,0,0.6464
1/4/2017 7:00,66.821,0,0.6654
1/4/2017 8:00,70.048,0.0012,0.6806
1/4/2017 9:00,71.458,0.0166,0.6713
1/4/2017 10:00,72.289,0.043,0.6578
1/4/2017 11:00,73.06,0.0645,0.6566
1/4/2017 12:00,72.965,0.073,0.6573
1/4/2017 13:00,71.861,0.063,0.6407
1/4/2017 14:00,70.186,0.0392,0.6146
1/4/2017 15:00,69.363,0.0137,0.5932
1/4/2017 16:00,70.147,0.0011,0.5695
1/4/2017 17:00,71.641,0,0.5314
1/4/2017 18:00,70.687,0,0.5196
1/4/2017 19:00,69.214,0,0.5125
1/4/2017 20:00,65.553,0,0.4865
1/4/2017 21:00,62.177,0,0.4718
1/4/2017 22:00,60.257,0,0.4409
1/4/2017 23:00,56.17,0,0.4267
1/5/2017 0:00,52.265,0,0.399
1/5/2017 1:00,49.785,0,0.3701
1/5/2017 2:00,48.619,0,0.3521
1/5/2017 3:00,48.531,0,0.3319
1/5/2017 4:00,49.282,0,0.3175
1/5/2017 5:00,51.739,0,0.3021
1/5/2017 6:00,57.214,0,0.2827
1/5/2017 7:00,63.352,0,0.2747
1/5/2017 8:00,66.362,0.0028,0.2658
1/5/2017 9:00,67.386,0.0312,0.2508
1/5/2017 10:00,68.029,0.0736,0.2418
1/5/2017 11:00,68.309,0.1052,0.2444
1/5/2017 12:00,68.622,0.1096,0.2462
1/5/2017 13:00,67.778,0.0954,0.2256
1/5/2017 14:00,66.973,0.065,0.2028
1/5/2017 15:00,66.289,0.0265,0.193
1/5/2017 16:00,67.021,0.0024,0.1812
1/5/2017 17:00,70.357,0,0.1756
1/5/2017 18:00,70.218,0,0.1666
1/5/2017 19:00,68.733,0,0.1504
1/5/2017 20:00,64.816,0,0.1377
1/5/2017 21:00,61.304,0,0.1258
1/5/2017 22:00,59.659,0,0.1112
1/5/2017 23:00,56.111,0,0.1011
1/6/2017 0:00,53.328,0,0.0861
1/6/2017 1:00,51.199,0,0.0784
1/6/2017 2:00,50.122,0,0.0742
1/6/2017 3:00,49.859,0,0.0724
1/6/2017 4:00,49.907,0,0.0736
1/6/2017 5:00,51.197,0,0.0697
1/6/2017 6:00,54.509,0,0.0694
1/6/2017 7:00,59.626,0,0.0751
1/6/2017 8:00,62.402,0.0032,0.0717
1/6/2017 9:00,63.147,0.0412,0.0632
1/6/2017 10:00,63.468,0.1,0.0555
1/6/2017 11:00,63.709,0.1541,0.0516
1/6/2017 12:00,63.489,0.1793,0.0574
1/6/2017 13:00,62.2,0.1684,0.0634
1/6/2017 14:00,60.761,0.1194,0.066
1/6/2017 15:00,60.282,0.0503,0.073
1/6/2017 16:00,61.653,0.0045,0.0842
1/6/2017 17:00,65.179,0,0.102
1/6/2017 18:00,65.631,0,0.1271
1/6/2017 19:00,64.357,0,0.151
1/6/2017 20:00,61.44,0,0.1614
1/6/2017 21:00,59.051,0,0.1636
