utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_solar_profile,DE_wind_profile
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,44512,0,0.3146
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,43202,0,0.3134
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,42064,0,0.3076
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,40523,0,0.3005
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,39793,0,0.3032
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,38554,0,0.3112
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,37398,0,0.3244
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,38041,0,0.3244
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,38669,0.0068,0.3226
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,41774,0.0513,0.3206
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,44750,0.1152,0.2959
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,47242,0.1681,0.2713
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,44897,0.195,0.2496
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,40823,0.1744,0.2248
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,41061,0.1141,0.2005
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,41734,0.0409,0.1835
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,43880,0.0029,0.1866
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,47693,0,0.1986
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,48281,0,0.2014
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,47113,0,0.2086
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,44660,0,0.2263
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,42549,0,0.2353
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,42645,0,0.2517
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,40386,0,0.2501
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,37959,0,0.2527
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,36057,0,0.2633
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,35729,0,0.2592
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,35852,0,0.2589
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,37055,0,0.2445
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,39786,0,0.242
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,46293,0,0.2474
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,52538,0,0.2432
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,56722,0.0026,0.2326
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,61431,0.019,0.2145
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,65641,0.04,0.2105
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,66904,0.0591,0.2004
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,66761,0.0706,0.2055
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,65467,0.0622,0.2059
2017-01-02T13:00:00Z,2017-01-02T14:00:00+0100,64122,0.0387,0.2144
2017-01-02T14:00:00Z,2017-01-02T15:00:00+0100,63605,0.0137,0.2154
2017-01-02T15:00:00Z,2017-01-02T16:00:00+0100,64537,0.0012,0.2252
2017-01-02T16:00:00Z,2017-01-02T17:00:00+0100,67513,0,0.2473
2017-01-02T17:00:00Z,2017-01-02T18:00:00+0100,67147,0,0.2741
2017-01-02T18:00:00Z,2017-01-02T19:00:00+0100,66214,0,0.2835
2017-01-02T19:00:00Z,2017-01-02T20:00:00+0100,62083,0,0.2837
2017-01-02T20:00:00Z,2017-01-02T21:00:00+0100,58868,0,0.2906
2017-01-02T21:00:00Z,2017-01-02T22:00:00+0100,57582,0,0.3003
2017-01-02T22:00:00Z,2017-01-02T23:00:00+0100,54016,0,0.3198
2017-01-02T23:00:00Z,2017-01-03T00:00:00+0100,51119,0,0.3366
2017-01-03T00:00:00Z,2017-01-03T01:00:00+0100,48687,0,0.3394
2017-01-03T01:00:00Z,2017-01-03T02:00:00+0100,47412,0,0.3493
2017-01-03T02:00:00Z,2017-01-03T03:00:00+0100,47285,0,0.3713
2017-01-03T03:00:00Z,2017-01-03T04:00:00+0100,48268,0,0.3846
2017-01-03T04:00:00Z,2017-01-03T05:00:00+0100,50501,0,0.4025
